libwacom 2.6.0-2
libwbclient 4.18.0-2.1
libwebp 1.3.0-2.1
libwireplumber 0.4.14-1.1
libwnck3 43.0-3.1
libwpd 0.10.3-4.1
libwpg 0.3.3-4.1
libwps 0.4.13-1.1
libx11 1.8.4-1.1
libx86emu 3.5-3.1
libxau 1.0.11-2.1
libxaw 1.0.15-1.1
libxcb 1.15-2.1
libxcomposite 0.4.6-1.1
libxcrypt 4.4.33-1.1
libxcursor 1.2.1-3.1
libxcvt 0.1.2-1.1
libxdamage 1.1.6-1.1
libxdg-basedir 1.2.3-1.1
libxdmcp 1.1.4-2.1
libxext 1.3.5-1.1
libxfixes 6.0.0-2.1
libxfont2 2.0.6-2.1
libxft 2.3.7-1.1
libxi 1.8-3.1
libxinerama 1.1.5-1.1
libxkbcommon 1.5.0-1.1
libxkbcommon-x11 1.5.0-1.1
libxkbfile 1.1.2-1.1
libxklavier 5.4-4.1
libxml2 2.10.3-2.1
libxmlb 0.3.11-1.1
libxmu 1.1.4-1.1
libxpm 3.5.15-1.1
libxpresent 1.0.1-1.1
libxrandr 1.5.3-1.1
libxrender 0.9.11-1.1
libxres 1.2.2-1.1
libxshmfence 1.3.2-1.1
libxslt 1.1.37-2.1
libxss 1.2.3-4.1
libxt 1.2.1-1.1
libxtst 1.2.4-1.1
libxv 1.0.12-1.1
libxxf86vm 1.1.5-1.1
libyaml 0.2.5-2.1
libyuv r2322+3aebf69d-1.1
libzen 0.4.40-1.1
libzmf 0.0.2-13.1
licenses 20220125-2
lilv 0.24.20-1.1
linux-api-headers 6.1.9-1
linux-cachyos 6.2.8-1
linux-cachyos-headers 6.2.8-1
linux-cachyos-lts 6.1.18-1
linux-cachyos-lts-headers 6.1.18-1
linux-firmware 20230210.bf4115c-1
linux-firmware-whence 20230210.bf4115c-1
lld 15.0.7-4
llvm 15.0.7-6
llvm-libs 15.0.7-6
lm_sensors 1:3.6.0.r41.g31d1f125-3
lmdb 0.9.30-3.1
logrotate 3.21.0-2.1
lolcat 100.0.1-1
lpsolve 5.5.2.11-2.1
lsb-release 2.0.r48.3cf5103-1
lsd 0.23.1-1.1
lsof 4.98.0-1.1
lsscsi 0.32-1.1
lua 5.4.4-3.1
luajit 2.1.0.beta3.r471.g505e2c03-1.1
lv2 1.18.10-1.1
lvm2 2.03.20-1.1
lxappearance-gtk3 0.6.3-4.1
lxde-common 0.99.2-3
lxde-icon-theme 0.5.1-5
lxhotkey-gtk3 0.1.1-2.1
lxinput-gtk3 0.3.5-3.1
lxlauncher-gtk3 0.2.5-4.1
lxmenu-data 0.1.5-3
lxmusic 0.4.7-7.1
lxpanel-gtk3 0.10.1-1.1
lxrandr-gtk3 0.3.2-3.1
lxsession-gtk3 1:0.5.5-1.1
lxtask-gtk3 0.1.10-2.1
lxterminal 0.4.0-1.1
lz4 1:1.9.4-1.1
lzo 2.10-5.1
m4 1.4.19-3.1
mailcap 2.1.53-1
make 4.4.1-2.1
man-db 2.11.2-1.1
man-pages 6.03-1
md4c 0.4.8-1.1
mdadm 4.2-2.1
mediainfo 22.12-1.1
meld 3.22.0-1
menu-cache 1.1.0-4.1
mesa 23.0.1-2
mesa-utils 9.0.0-1.1
mesa-vdpau 23.0.1-2
mhwd-cachyos 0.6.13-2
mhwd-db-cachyos 0.6.13-2
mhwd-nvidia 525.60.11-1
mhwd-nvidia-390xx 390.154-1
mhwd-nvidia-470xx 470.94-1
micro 2.0.11-4.1
minizip 1:1.2.13-2.1
mjpegtools 2.2.1-1.1
mkinitcpio 35.2-1
mkinitcpio-busybox 1.35.0-1.1
mlocate 0.26.git.20170220-7.1
mobile-broadband-provider-info 20221107-2
moc 1:2.5.2-8.1
modemmanager 1.20.6-1.1
mpfr 4.2.0-4
mpg123 1.31.3-1.1
mpv 1:0.35.1-4.1
mtdev 1.1.6-2.1
mtools 1:4.0.43-1.1
mujs 1.3.2-1.1
mypy 1.1.1-1
nano 7.2-1.1
nano-syntax-highlighting 2020.10.10-1
ncurses 6.4-1.1
ndctl 76-1.1
neofetch 7.1.0-4
neon 0.32.5-1.1
net-snmp 5.9.1-5.1
netctl 1.28-2
netpbm 10.73.43-1.1
nettle 3.8.1-1.1
network-manager-applet 1.30.0-1.1
networkmanager 1.42.4-2
networkmanager-openvpn 1.10.2-2
nfs-utils 2.6.2-1.1
nfsidmap 2.6.2-1.1
nftables 1:1.0.7-1.1
nilfs-utils 2.2.9-2.1
nlohmann-json 3.11.2-1
nm-connection-editor 1.30.0-1.1
nnn 4.7-1.1
notification-daemon 3.20.0-4.1
noto-color-emoji-fontconfig 1.0.0-1
noto-fonts 20230301-1
noto-fonts-cjk 20220126-1
noto-fonts-emoji 20220920-1
npth 1.6-3.1
nspr 4.35-1.1
nss 3.89-1.1
nss-mdns 0.15.1-1.1
ntfs-3g 2022.10.3-1.1
